State,Year,Population,Latitude,Longitude,Code,income
Missouri,2019,6137428,38.573936,-92.60376,MO,48401
Missouri,2020,6154913,38.573936,-92.60376,MO,52095
Missouri,2021,6168187,38.573936,-92.60376,MO,56073
Missouri,2022,6177957,38.573936,-92.60376,MO,57818
Montana,2014,1023579,46.96526,-109.533691,MT,41855
Montana,2015,1032949,46.96526,-109.533691,MT,43100
Montana,2016,1042520,46.96526,-109.533691,MT,43306
Montana,2017,1050493,46.96526,-109.533691,MT,45373
Montana,2018,1062305,46.96526,-109.533691,MT,47211
Montana,2019,1068778,46.96526,-109.533691,MT,49647
Montana,2020,1084225,46.96526,-109.533691,MT,53546
Montana,2021,1104271,46.96526,-109.533691,MT,58344
Montana,2022,1122867,46.96526,-109.533691,MT,60984
Nebraska,2014,1881503,41.5,-100,NE,48195
Nebraska,2015,1896190,41.5,-100,NE,49716
Nebraska,2016,1907116,41.5,-100,NE,48695
Nebraska,2017,1920076,41.5,-100,NE,49538
Nebraska,2018,1929268,41.5,-100,NE,51439
Nebraska,2019,1934408,41.5,-100,NE,53450
Nebraska,2020,1961504,41.5,-100,NE,56733
Nebraska,2021,1963692,41.5,-100,NE,62682
Nebraska,2022,1967923,41.5,-100,NE,64268
Nevada,2014,2839099,39.876019,-117.224121,NV,41112
Nevada,2015,2890845,39.876019,-117.224121,NV,43783
Nevada,2016,2940058,39.876019,-117.224121,NV,44700
Nevada,2017,2998039,39.876019,-117.224121,NV,46977
Nevada,2018,3034392,39.876019,-117.224121,NV,49278
Nevada,2019,3080156,39.876019,-117.224121,NV,51905
Nevada,2020,3104614,39.876019,-117.224121,NV,54650
Nevada,2021,3143991,39.876019,-117.224121,NV,61024
Nevada,2022,3177772,39.876019,-117.224121,NV,62085
New Hampshire,2014,1326813,44,-71.5,NH,51993
New Hampshire,2015,1330608,44,-71.5,NH,54166
New Hampshire,2016,1334795,44,-71.5,NH,55681
New Hampshire,2017,1342795,44,-71.5,NH,57882
New Hampshire,2018,1356458,44,-71.5,NH,60338
New Hampshire,2019,1359711,44,-71.5,NH,63934
New Hampshire,2020,1377529,44,-71.5,NH,67883
New Hampshire,2021,1388992,44,-71.5,NH,72214
New Hampshire,2022,1395231,44,-71.5,NH,73910
New Jersey,2014,8938175,39.833851,-74.871826,NJ,56383
New Jersey,2015,8958013,39.833851,-74.871826,NJ,58425
New Jersey,2016,8944469,39.833851,-74.871826,NJ,59793
New Jersey,2017,9005644,39.833851,-74.871826,NJ,61716
New Jersey,2018,8908520,39.833851,-74.871826,NJ,64206
New Jersey,2019,8882190,39.833851,-74.871826,NJ,67484
New Jersey,2020,9288994,39.833851,-74.871826,NJ,70957
New Jersey,2021,9267130,39.833851,-74.871826,NJ,76079
New Jersey,2022,9261699,39.833851,-74.871826,NJ,77199
New Mexico,2014,2085572,34.307144,-106.018066,NM,36880
New Mexico,2015,2085109,34.307144,-106.018066,NM,37753
New Mexico,2016,2081015,34.307144,-106.018066,NM,38475
New Mexico,2017,2088070,34.307144,-106.018066,NM,39197
New Mexico,2018,2095428,34.307144,-106.018066,NM,40977
New Mexico,2019,2096829,34.307144,-106.018066,NM,43191
New Mexico,2020,2117522,34.307144,-106.018066,NM,46631
New Mexico,2021,2115877,34.307144,-106.018066,NM,51141
New Mexico,2022,2113344,34.307144,-106.018066,NM,52194
New York,2014,19746227,43,-75,NY,54495
New York,2015,19795791,43,-75,NY,56603
New York,2016,19745289,43,-75,NY,58392
New York,2017,19849399,43,-75,NY,62196
New York,2018,19542209,43,-75,NY,64218
New York,2019,19453561,43,-75,NY,66415
New York,2020,20201249,43,-75,NY,69873
New York,2021,19835913,43,-75,NY,75948
New York,2022,19677151,43,-75,NY,75407
North Carolina,2014,9943964,35.782169,-80.793457,NC,39866
North Carolina,2015,10042802,35.782169,-80.793457,NC,41617
North Carolina,2016,10146788,35.782169,-80.793457,NC,42582
North Carolina,2017,10273419,35.782169,-80.793457,NC,44207
North Carolina,2018,10383620,35.782169,-80.793457,NC,46040
North Carolina,2019,10488084,35.782169,-80.793457,NC,48366
North Carolina,2020,10439388,35.782169,-80.793457,NC,51781
North Carolina,2021,10551162,35.782169,-80.793457,NC,56705
North Carolina,2022,10698973,35.782169,-80.793457,NC,58109
Ohio,2014,11594163,40.367474,-82.996216,OH,42278
Ohio,2015,11613423,40.367474,-82.996216,OH,43801
Ohio,2016,11614373,40.367474,-82.996216,OH,44576
Ohio,2017,11658609,40.367474,-82.996216,OH,46116
Ohio,2018,11689442,40.367474,-82.996216,OH,47822
Ohio,2019,11689100,40.367474,-82.996216,OH,49404
Ohio,2020,11799448,40.367474,-82.996216,OH,52879
Ohio,2021,11780017,40.367474,-82.996216,OH,57026
Ohio,2022,11756058,40.367474,-82.996216,OH,57777
Oklahoma,2014,3878051,36.084621,-96.921387,OK,45882
Oklahoma,2015,3911338,36.084621,-96.921387,OK,44277
Oklahoma,2016,3923561,36.084621,-96.921387,OK,42052
Oklahoma,2017,3930864,36.084621,-96.921387,OK,43871
Oklahoma,2018,3943079,36.084621,-96.921387,OK,46029
Oklahoma,2019,3956971,36.084621,-96.921387,OK,48172
Oklahoma,2020,3959353,36.084621,-96.921387,OK,50249
Oklahoma,2021,3986639,36.084621,-96.921387,OK,55165
Oklahoma,2022,4019800,36.084621,-96.921387,OK,56298
Oregon,2014,3970239,44,-120.5,OR,41653
Oregon,2015,4028977,44,-120.5,OR,44166
Oregon,2016,4093465,44,-120.5,OR,45467
Oregon,2017,4142776,44,-120.5,OR,47565
Oregon,2018,4190713,44,-120.5,OR,50209
Oregon,2019,4217737,44,-120.5,OR,52178
Oregon,2020,4237256,44,-120.5,OR,56507
Oregon,2021,4246155,44,-120.5,OR,61646
Oregon,2022,4240137,44,-120.5,OR,62303
