State and area,Year,Quarter,Total,Rate
Hawaii,2018,1,44031,2.1333333333333333
Hawaii,2018,2,47847,2.3000000000000003
Hawaii,2018,3,51715,2.5
Hawaii,2018,4,55722,2.6999999999999997
Hawaii,2019,1,56232,2.733333333333333
Hawaii,2019,2,52977,2.566666666666667
Hawaii,2019,3,50375,2.433333333333333
Hawaii,2019,4,48049,2.3333333333333335
Hawaii,2020,1,45291,2.2
Hawaii,2020,2,400369,20.3
Hawaii,2020,3,277439,14.133333333333333
Hawaii,2020,4,211378,10.799999999999999
Hawaii,2021,1,182897,9.033333333333333
Hawaii,2021,2,141318,6.966666666666666
Hawaii,2021,3,95570,4.766666666666667
Hawaii,2021,4,65328,3.3000000000000003
Hawaii,2022,1,64893,3.233333333333333
Hawaii,2022,2,68237,3.3666666666666667
Hawaii,2022,3,72867,3.6
Hawaii,2022,4,75742,3.7000000000000006
Hawaii,2023,1,72344,3.5666666666666664
Hawaii,2023,2,64110,3.1333333333333333
Hawaii,2023,3,57493,2.7999999999999994
Idaho,2014,1,122144,5.233333333333333
Idaho,2014,2,101103,4.366666666666666
Idaho,2014,3,93693,4.0
Idaho,2014,4,91940,3.9333333333333336
Idaho,2015,1,91229,3.8666666666666667
Idaho,2015,2,93236,3.9
Idaho,2015,3,93052,3.9
Idaho,2015,4,91969,3.7999999999999994
Idaho,2016,1,90952,3.766666666666667
Idaho,2016,2,90033,3.7000000000000006
Idaho,2016,3,89665,3.6666666666666665
Idaho,2016,4,87558,3.5666666666666664
Idaho,2017,1,83997,3.4
Idaho,2017,2,79836,3.1666666666666665
Idaho,2017,3,79758,3.1666666666666665
Idaho,2017,4,79350,3.1333333333333333
Idaho,2018,1,75306,2.9333333333333336
Idaho,2018,2,72079,2.7999999999999994
Idaho,2018,3,72776,2.7999999999999994
Idaho,2018,4,77098,2.966666666666667
Idaho,2019,1,77525,2.9333333333333336
Idaho,2019,2,75297,2.8333333333333335
Idaho,2019,3,77152,2.9
Idaho,2019,4,75703,2.8333333333333335
Idaho,2020,1,74224,2.733333333333333
Idaho,2020,2,251730,9.4
Idaho,2020,3,153112,5.666666666666667
Idaho,2020,4,116602,4.266666666666667
Idaho,2021,1,109162,4.0
Idaho,2021,2,101337,3.6666666666666665
Idaho,2021,3,93577,3.3666666666666667
Idaho,2021,4,82895,2.966666666666667
Idaho,2022,1,73092,2.6
Idaho,2022,2,72682,2.533333333333333
Idaho,2022,3,78998,2.766666666666667
Idaho,2022,4,79696,2.7999999999999994
Idaho,2023,1,75520,2.6333333333333333
Idaho,2023,2,75203,2.6333333333333333
Idaho,2023,3,86415,2.966666666666667
Illinois,2014,1,1596660,8.133333333333333
Illinois,2014,2,1447639,7.3999999999999995
Illinois,2014,3,1328218,6.8
Illinois,2014,4,1237153,6.333333333333333
Illinois,2015,1,1182028,6.066666666666666
Illinois,2015,2,1173959,6.0
Illinois,2015,3,1155938,5.900000000000001
Illinois,2015,4,1183914,6.0
Illinois,2016,1,1225175,6.2
Illinois,2016,2,1186881,6.0
Illinois,2016,3,1135821,5.766666666666667
Illinois,2016,4,1088595,5.566666666666666
Illinois,2017,1,1010838,5.133333333333333
Illinois,2017,2,969482,4.9
Illinois,2017,3,973077,4.966666666666667
Illinois,2017,4,939566,4.8
Illinois,2018,1,877938,4.5
Illinois,2018,2,838995,4.266666666666667
Illinois,2018,3,845195,4.333333333333333
Illinois,2018,4,888447,4.5
Illinois,2019,1,884891,4.5
Illinois,2019,2,786522,4.0
Illinois,2019,3,732972,3.733333333333333
Illinois,2019,4,714779,3.6333333333333333
Illinois,2020,1,816930,4.166666666666667
Illinois,2020,2,2856735,15.133333333333333
Illinois,2020,3,1922601,10.133333333333333
Illinois,2020,4,1496232,7.8999999999999995
Illinois,2021,1,1327087,7.0
Illinois,2021,2,1235943,6.466666666666666
Illinois,2021,3,1121361,5.833333333333333
Illinois,2021,4,969838,5.066666666666666
Illinois,2022,1,904467,4.633333333333333
Illinois,2022,2,860899,4.433333333333334
Illinois,2022,3,872539,4.5
Illinois,2022,4,896187,4.6
Illinois,2023,1,868011,4.466666666666667
Illinois,2023,2,798281,4.1000000000000005
Illinois,2023,3,803662,4.166666666666667
Indiana,2014,1,604625,6.3
Indiana,2014,2,587646,6.066666666666666
Indiana,2014,3,565043,5.833333333333333
Indiana,2014,4,544463,5.6000000000000005
Indiana,2015,1,507936,5.233333333333333
Indiana,2015,2,471821,4.8
Indiana,2015,3,448907,4.566666666666666
Indiana,2015,4,449676,4.533333333333333
Indiana,2016,1,463271,4.6
Indiana,2016,2,453143,4.5
Indiana,2016,3,427139,4.3
Indiana,2016,4,403516,4.066666666666666
Indiana,2017,1,366338,3.6666666666666665
Indiana,2017,2,342460,3.4
Indiana,2017,3,351134,3.5
Indiana,2017,4,339577,3.4
Indiana,2018,1,333020,3.2999999999999994
Indiana,2018,2,345317,3.4
Indiana,2018,3,353026,3.466666666666667
Indiana,2018,4,362033,3.5666666666666664
Indiana,2019,1,351406,3.4
Indiana,2019,2,327647,3.233333333333333
Indiana,2019,3,330559,3.233333333333333
Indiana,2019,4,336614,3.2999999999999994
Indiana,2020,1,343883,3.4
Indiana,2020,2,1293249,13.166666666666666
Indiana,2020,3,758783,7.533333333333334
Indiana,2020,4,533904,5.266666666666667
Indiana,2021,1,454954,4.533333333333334
Indiana,2021,2,420022,4.166666666666667
Indiana,2021,3,374540,3.6999999999999997
Indiana,2021,4,317602,3.1666666666666665
Indiana,2022,1,285684,2.8333333333333335
Indiana,2022,2,293713,2.8666666666666667
Indiana,2022,3,319129,3.1
Indiana,2022,4,323747,3.1666666666666665
Indiana,2023,1,317963,3.1
Indiana,2023,2,319209,3.1
Indiana,2023,3,351491,3.4333333333333336
Iowa,2014,1,223412,4.4
Iowa,2014,2,219536,4.3
Iowa,2014,3,215089,4.2
Iowa,2014,4,205734,4.0
Iowa,2015,1,195731,3.8333333333333335
Iowa,2015,2,189473,3.733333333333333
Iowa,2015,3,185036,3.6
Iowa,2015,4,185836,3.6
Iowa,2016,1,185959,3.6
Iowa,2016,2,186536,3.6333333333333333
Iowa,2016,3,184720,3.6
Iowa,2016,4,176909,3.466666666666667
Iowa,2017,1,165288,3.233333333333333
Iowa,2017,2,158002,3.1
Iowa,2017,3,154118,3.033333333333333
Iowa,2017,4,145756,2.8666666666666667
Iowa,2018,1,138361,2.6999999999999997
